Car Name,Location,Model,Mileage (km),Fuel (Diesel/Petrol/Hybrid),Engine Cacity,Price (lac),Manual,Automatic
Suzuki Mehran  2018   II ,Lahore,2018,53000,1,796,9.65,1,0
Suzuki Khyber  1993  ,Islamabad,1993,55555,1,1000,1.85,1,0
Toyota Vitz  2009 F 1.0 ,D.G.Khan,2009,123456,1,1000,17.35,0,1
Suzuki Alto  2019 R AGS ,Karachi,2019,47000,1,660,20.8,0,1
Suzuki FX  1983  ,Lahore,1983,45388,1,800,1.99,1,0
Suzuki Mehran  2015   II ,Jacobabad,2015,84786,1,796,6.75,1,0
KIA Sportage  2021  ,Karachi,2021,26000,1,2000,62,0,1
Toyota Corolla  2020 Altis 1 1.6 ,Islamabad,2020,22300,1,1600,44.25,0,1
Honda Civic  2003  Oriel  1.6 ,Wah cantt,2003,225000,1,1600,14.8,1,0
Toyota Fortuner  2018 2.8  4 ,Lahore,2018,75000,0,2800,95,0,1
Mercedes Benz C   2011 C180 ,Okara,2011,47000,1,1800,45,0,1
Mitsubishi Lancer  2005 GLX 1 1.6 ,Faisalabad,2005,105000,1,1600,17,0,1
FAW V2  2017  ,Bahawalpur,2017,71000,1,1300,13.5,1,0
Suzuki Cultus  2016  II ,Lahore,2016,50000,1,1000,13.9,1,0
Suzuki Alto  2022 R ,D.G.Khan,2022,7000,1,660,20.65,1,0
Toyota Yaris  2021  X  1.5 ,Rawalpindi,2021,11000,1,1500,41.5,0,1
KIA Sportage  2022  ,Islamabad,2022,3000,1,2000,75,0,1
Toyota Prius  2010  ,Islamabad,2010,195000,2,1800,35.5,0,1
Suzuki Alto  2022 R ,Rawalpindi,2022,2000,1,660,21,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Islamabad,2019,55000,1,1800,44.5,0,1
Suzuki Alto  2012 R (CNG) ,Islamabad,2012,130704,1,1000,11,1,0
Honda BR-V  2018 i- S ,Faisalabad,2018,96000,1,1500,35,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,75956,1,1800,42,0,1
Changan Oshan X7  2022  ,Islamabad,2022,20000,1,1500,77,0,1
Toyota Aqua  2017 S ,Islamabad,2017,76000,2,1500,44.39,0,1
Honda City  2019 1.3 i- ,Islamabad,2019,56202,1,1300,30.5,1,0
Mitsubishi Ek Wagon  2018 E ,Karachi,2018,8235,1,660,26,0,1
Mitsubishi Lancer  2005 GLX 1 1.6 ,Faisalabad,2005,105000,1,1600,17,0,1
FAW V2  2017  ,Bahawalpur,2017,71000,1,1300,13.5,1,0
Suzuki Cultus  2016  II ,Lahore,2016,50000,1,1000,13.9,1,0
Toyota Surf  1992 SSR-G 3.0D ,Islamabad,1992,210000,0,2400,21,0,1
Toyota Corolla  2017 Altis 1 1.6 ,Rawalpindi,2017,90000,1,1600,31,0,1
Suzuki Alto  2022 R ,D.G.Khan,2022,7000,1,660,20.65,1,0
Toyota Yaris  2021  X  1.5 ,Rawalpindi,2021,11000,1,1500,41.5,0,1
KIA Sportage  2022  ,Islamabad,2022,3000,1,2000,75,0,1
Honda Civic  2022 1.5 RS Turbo ,Lahore,2022,3170,1,1500,82,0,1
Toyota Prius  2010  ,Islamabad,2010,195000,2,1800,35.5,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,81000,1,1800,37.7,0,1
Suzuki Alto  2022 R ,Rawalpindi,2022,2000,1,660,21,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Islamabad,2019,55000,1,1800,44.5,0,1
Suzuki Mehran  2014 R  II ,Karachi,2014,97000,1,796,8.5,1,0
Suzuki Cultus  2018 R ,Gujranwala,2018,54000,1,1000,19.7,1,0
Mitsubishi Lancer  2005 GLX 1.3 ,Sargodha,2005,151000,1,1300,11.45,1,0
Suzuki Margalla  1994 GL Plus ,Gojra,1994,150000,1,1300,7.5,1,0
Toyota Surf  1994 SSR-G 2.7 ,D.G.Khan,1994,268000,0,2700,12,1,0
Honda Vezel  2014 2 X Honda  ,Lahore,2014,116000,1,1500,37.95,1,0
Suzuki Swift  2017 DLX 1.3 ,Islamabad,2017,61022,1,1300,20.95,1,0
Honda City   2013 Aspire 1.5 i- ,Islamabad,2013,160000,1,1500,21,0,1
Daihatsu Mira  2018 G Smart Drive  ,Islamabad,2018,55000,1,660,30.85,1,0
Honda Fit  2015 1.5 2 S  ,Karachi,2015,96000,2,1500,27.95,1,0
Honda City  2021 1.2L  ,Faisalabad,2021,21000,1,1200,35.95,0,1
Suzuki Cultus  2010 Ri ,Karachi,2010,97915,1,1000,8.5,0,1
Suzuki Cultus  2014  II ,Islamabad,2014,28908,1,1000,13,0,1
Honda Civic  2016 Turbo 1.5   ,Islamabad,2016,81717,1,1500,38.5,1,0
Honda BR-V  2018 i- MT ,Islamabad,2018,28990,1,1500,38,1,0
Audi A8  (D4)  2013 L 2 ,Islamabad,2013,98474,2,2000,2,0,1
Honda City   2017 Aspire 1.3 i- ,Islamabad,2017,99408,1,1300,29.5,1,0
Honda Vezel  2016 2 RS Honda   ,Islamabad,2016,89213,2,1500,55.5,0,1
Honda Civic  2004 EXi  ,Islamabad,2004,310656,1,1500,14.5,1,0
Honda Fit  2013 1.5 2 S  ,Islamabad,2013,91873,2,1500,27.5,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Rawalpindi,2015,59342,1,1800,31.8,0,1
Toyota Vitz  2011 F 1.0 ,Islamabad,2011,155589,1,1000,21.1,0,1
Toyota Corolla  2014 GLi 1.3 V  ,Lahore,2014,110000,1,1300,24.9,0,1
Toyota Duet  2007 S ,Peshawar,2007,50000,1,1000,8.2,0,1
KIA Picanto  2021 1.0 AT ,Lahore,2021,18000,1,1000,26.9,1,0
Honda City   2010 1.3 i- ,Islamabad,2010,228850,1,1300,20.2,1,0
Toyota Prius Alpha  2013 S ,Karachi,2013,140000,1,1800,38,0,1
Toyota Aqua  2022 S ,Multan,2022,28000,2,1500,44,1,0
Suzuki Wagon R  2019 2 FZ ,Karachi,2019,30000,2,660,33.2,0,1
Honda Civic  2022 1.5 RS Turbo ,Lahore,2022,5000,1,1500,80.9,0,1
Mercedes Benz D   1990  ,Lahore,1990,150000,1,3000,19.5,0,1
Toyota Prius  2018 PHV (Plug In 2) ,Nowshera cantt,2018,71000,1,1800,69.9,0,1
Suzuki Cultus  2002 L (CNG) ,Lahore,2002,180000,1,1000,6.7,0,1
Suzuki Baleno  2005 JXR ,Muzaffar Gargh,2005,100000,1,1300,7.5,0,1
Suzuki Swift  2018 DLX 1.3 Navigation  ,Rawalpindi,2018,78000,1,1300,21.8,1,0
Toyota Corolla  2001 2.0D Limited ,Lahore,2001,207690,0,2000,12.5,0,1
Honda City  2005 i-DSI Vario ,Karachi,2005,150000,1,1300,11.25,1,0
Toyota sso  2014 X G  ,Karachi,2014,102000,1,1000,20,1,0
Toyota Corolla  2016 GLi 1.3 V ,Dera ismail khan,2016,61000,1,1300,28.5,1,0
Mercedes Benz E   (W211)  2006 E200 ,Rawalpindi,2006,85000,1,1800,39.5,1,0
Toyota Land Cruiser 100  2003  4.2D ,Karachi,2003,121245,0,4200,78,0,1
Suzuki Cultus  2017 R ,Karachi,2017,8000,1,1000,24,0,1
Suzuki Mehran  2006  ,Rawalpindi,2006,100000,1,800,5.4,1,0
Toyota Corolla 9th  2007 XLi ,Karachi,2007,97500,1,1300,14.5,0,1
Suzuki Margalla  1993  ,Lahore,1993,100000,1,1300,3.25,0,1
Toyota Yaris  2021  X  1.5 ,Islamabad,2021,40453,1,1500,38.5,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Rawalpindi,2019,57378,1,1800,49.9,1,0
Toyota Corolla  2015 GLi 1.3 V ,Islamabad,2015,119701,1,1300,25,1,0
Mercedes Benz E   (W211)  2007 E200 ,Islamabad,2007,50137,1,1800,48,1,0
Toyota Fortuner  2022 2.7 V ,Islamabad,2022,14969,1,2700,1.26,0,1
Honda Civic  2022 Oriel 1.8 i-  ,Islamabad,2022,10388,1,1800,55.9,0,1
Audi Q5  2014 2.0 TFSI S Tronic Quattro ,Islamabad,2014,88736,1,2000,85,1,0
Toyota Vitz  2011 F 1.0 ,Islamabad,2011,132933,1,1000,20.3,0,1
Honda City   2018 1.3 i- ,Islamabad,2018,138427,1,1300,26.5,0,1
Suzuki Cultus  2022 L ,Rawalpindi,2022,13580,1,1000,29,0,1
Honda City   2017 Aspire 1.5 i- ,Islamabad,2017,85480,1,1500,29.5,0,1
Suzuki Mehran  2014   II ,Islamabad,2014,58005,1,796,9,0,1
Suzuki Bolan  2003  ,Rawalpindi,2003,2365,1,800,4.45,1,0
Toyota Aqua  2016 G LED Soft Leather Selection  ,Haroonabad,2016,89000,2,1500,37.5,1,0
Suzuki Alto  2021 R ,Taxila,2021,18000,1,660,22,1,0
Honda Civic  2012  Oriel 1.8 i- ,Lahore,2012,96000,1,1800,20.25,1,0
Suzuki Mehran  2017 R  II ,Kasur,2017,80000,1,796,9.75,1,0
Toyota Corolla  2010 GLi 1.3 V ,Peshawar,2010,145000,1,1300,19.2,0,1
Honda Civic  2020 Oriel 1.8 i-  ,Islamabad,2020,38000,1,1800,48.75,1,0
Honda Civic  2018 Oriel 1.8 i-  ,Lahore,2018,61000,1,1800,42.65,1,0
Suzuki Kei  2000 A ,Peshawar,2000,22002,1,660,9,1,0
Honda Civic Eagle Eye 2005 EXi  ,Karachi,2005,166000,1,1500,12.4,1,0
Suzuki Wagon R  2017 L ,Sialkot,2017,49000,1,1000,19.5,0,1
Suzuki Mehran  2005 R ,Lahore,2005,16000,1,800,5.5,0,1
Suzuki Mehran  2015 R  II ,Karachi,2015,31589,1,796,7.5,1,0
Daihatsu Copen  2019 Cero ,Lahore,2019,42000,1,660,42.5,0,1
Honda Civic Rebirth 2013 Oriel  UG ,Karachi,2013,100000,1,1800,24,1,0
Toyota Corolla  2016 GLi 1.3 V ,Bahawalpur,2016,150000,1,1300,23.5,1,0
Honda Civic  2016  Oriel  1.8 i- ,Faisalabad,2016,86000,1,1800,37.5,1,0
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,117000,1,1800,40,0,1
Suzuki Alto  2018 L ,Islamabad,2018,71000,1,660,26.5,0,1
Honda City   2015 1.3 i-  ,Lahore,2015,55000,1,1300,27.75,1,0
Mitsubishi jero  2002  ,Lahore,2002,90000,1,3500,52,0,1
Daihatsu Charade  1985 CL ,Karachi,1985,123456,1,1000,2,0,1
Toyota Corolla  2015 GLi 1 1.3 V ,Islamabad,2015,95000,1,1300,27.9,0,1
Suzuki Alto  2012 R (CNG) ,Islamabad,2012,130704,1,1000,11,0,1
Toyota Aqua  2014 L ,Islamabad,2014,140727,2,1500,30.95,0,1
KIA Picanto  2020 1.0 AT ,Islamabad,2020,19706,1,1000,25,1,0
Honda City  2006 i-DSI ,Karachi,2006,110000,1,1300,13.75,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Islamabad,2015,156370,1,1800,32.5,1,0
Suzuki Swift  2019 DLX 1.3 Navigation  ,Rawalpindi,2019,39203,1,1300,23.5,0,1
Toyota Aqua  2018 S ,Islamabad,2018,110181,2,1500,46.75,0,1
Suzuki Cultus  2022 1 Gear Shift ,Islamabad,2022,17551,1,1000,31.8,1,0
Toyota Aqua  2013 G LED Soft Leather Selection  ,Islamabad,2013,64223,2,1500,31.5,0,1
Toyota Vitz  2012 F 1.0 ,Islamabad,2012,201427,1,1000,23,1,0
Toyota Prado  2011 TZ 4.0 ,Islamabad,2011,114393,1,4000,1.5,0,1
Honda City  2002 EXi S 1 ,Islamabad,2002,223026,1,1500,14.5,0,1
Toyota Corolla  2022 Altis 1 1.6 ,Islamabad,2022,4500,1,1600,49,0,1
Honda BR-V  2018 i- S ,Faisalabad,2018,96000,1,1500,35,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,75956,1,1800,42,0,1
Toyota Hilux  2012 Vigo Champ GX ,Karachi,2012,89000,0,2500,43.5,0,1
Changan Oshan X7  2022  ,Islamabad,2022,2000,1,1500,77,0,1
Honda Civic  2004  Oriel  1.6 ,Rawalpindi,2004,1234,1,1600,14.5,0,1
Toyota Corolla  2017 XLi V ,Faisalabad,2017,105000,1,1300,26.45,0,1
JMC Vigus  2016 4x4 Double Cab ,Multan,2016,60000,0,2800,22,0,1
Suzuki Wagon R  2018 L ,Lahore,2018,99000,1,1000,18,0,1
Honda BR-V  2017 i- S ,Hyderabad,2017,76200,1,1500,33,0,1
Toyota Aqua  2017 S ,Islamabad,2017,76000,2,1500,44.39,1,0
Toyota Vitz  1999 FL 1.0 ,D.G.Khan,1999,100000,1,1000,13,1,0
Toyota Corolla  2021 Altis Grande X -i 1.8 Black Interior ,Peshawar,2021,13000,1,1800,58.5,1,0
Honda City  2019 1.3 i- ,Islamabad,2019,56202,1,1300,30.5,0,1
Honda City  2021 1.5L ASPIRE  ,Lahore,2021,6000,1,1500,35.95,0,1
Honda Civic  2016 Oriel  UG ,Faisalabad,2016,82250,1,1800,37.75,0,1
Mitsubishi Ek Wagon  2018 E ,Karachi,2018,8235,1,660,26,0,1
Honda Civic  2006   1.8 i- ,Chakwal,2006,319028,1,1800,13.3,1,0
Suzuki Khyber  1996  ,Karachi,1996,16600,1,1000,3.4,0,1
Toyota Rush  2007 G Limited ,Karachi,2007,47000,1,1500,23,0,1
Toyota Aqua  2013 G LED Soft Leather Selection  ,Karachi,2013,78000,2,1500,26.7,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Faisalabad,2019,65000,1,1800,44,0,1
Toyota Corolla  2014 Altis Grande 1.8 ,Islamabad,2014,110954,1,1800,33,1,0
Toyota Ractis  2007 1.3X ,Islamabad,2007,181624,1,1300,17.5,0,1
Changan Karvaan  2021 Plus ,Islamabad,2021,10766,1,1000,23,0,1
Honda City   2011 1.3 i- ,Islamabad,2011,89599,1,1300,19.85,0,1
Toyota Yaris  2020  X  1.5 ,Islamabad,2020,41122,1,1500,35.9,0,1
Honda Vezel  2017 2 RS Honda   ,Islamabad,2017,83644,2,1500,67.5,0,1
Daihatsu Cuore  2009 CL ,Islamabad,2009,107164,1,800,8,1,0
Toyota Prius  2012 S Touring Selection 1.8 ,Islamabad,2012,222326,1,1800,42,0,1
MG HS  2022 1.5 Turbo ,Islamabad,2022,20616,1,1500,66,1,0
Toyota Lite Ace  2004  ,Islamabad,2004,424139,1,1800,19,0,1
Toyota Fortuner  2020 2.7 V ,Islamabad,2020,32347,1,2700,1.15,0,1
Suzuki Cultus  2015  II ,Chakwal,2015,48000,1,1000,15.9,1,0
Honda City  2004 i-DSI Vario ,Lahore,2004,132000,1,1300,13.25,0,1
Suzuki Alto  2021 R ,Lahore,2021,27000,1,660,20.25,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Faisalabad,2019,61000,1,1800,44,1,0
Suzuki Wagon R  2017 L ,Lahore,2017,75500,1,1000,16.5,0,1
Honda City   2013 1.3 i- ,Islamabad,2013,110000,1,1300,21.45,1,0
Toyota Corolla  2017 Altis 1 1.6 ,Islamabad,2017,84800,1,1600,37.5,1,0
Honda City  2021 1.2L  ,Faisalabad,2021,21000,1,1200,35.95,0,1
Suzuki Alto  2017 F ,Haripur,2017,39000,1,660,25.5,1,0
Honda Civic  1996  1 1.6 ,Islamabad,1996,156744,1,1600,7.25,0,1
Suzuki Cultus  2010 Ri ,Karachi,2010,97915,1,1000,8.5,1,0
Suzuki Alto  2020 R ,Hafizabad,2020,72000,1,660,18.4,0,1
Toyota Land Cruiser 80  1992 GX 4.2D ,Rawalpindi,1992,123456,0,4200,31,1,0
Honda City   2018 1.3 i- ,Lahore,2018,115000,1,1300,28,0,1
Honda City   2014 1.5 i- ,Faisalabad,2014,108000,1,1500,19.75,0,1
Honda City  2001 EXi ,Islamabad,2001,100000,1,1300,8.8,0,1
Suzuki Mehran  2004  ,Karachi,2004,89000,1,800,5.1,0,1
Toyota C-HR  2017 S ,Lahore,2017,50000,2,1800,76,1,0
Suzuki Cultus  2014  II ,Islamabad,2014,28908,1,1000,13,1,0
Suzuki Cultus  2017  ,Karachi,2017,74000,1,1000,15.5,0,1
Toyota Corolla  2015 GLi 1.3 V ,Islamabad,2015,71000,1,1300,29.25,1,0
Honda Civic  2018 Oriel 1.8 i-  ,Lahore,2018,81000,1,1800,39.5,1,0
Toyota Prius  2011 G 1.8 ,Peshawar,2011,92705,2,1800,31,1,0
Honda Civic  2017 1.5 RS Turbo ,Islamabad,2017,43338,1,1500,46,1,0
Toyota Corolla  2021 Altis X 1 1.6 ,Islamabad,2021,24008,1,1600,47,0,1
Toyota Hilux  2021 Revo V 1 2.8 ,Islamabad,2021,18353,0,2800,98,1,0
Mitsubishi jero  2006 GLS 2.8D ,Islamabad,2006,228986,0,2800,40,1,0
Toyota Corolla  2014 GLi  1.3 V ,Islamabad,2014,109074,1,1300,25,1,0
Toyota Corolla  2021 Altis X 1 1.6 ,Islamabad,2021,41640,1,1600,43,0,1
Toyota C-HR  2017 S ,Islamabad,2017,155049,2,1800,72.5,0,1
Honda Civic  2001  Oriel 1 1.6 ,Islamabad,2001,214484,1,1600,11.5,0,1
Nissan Tiida  2007 15S ,Islamabad,2007,118307,1,1500,16,0,1
Daihatsu Move  2012 X ,Islamabad,2012,93704,1,660,14.9,0,1
Honda Civic  2016 Turbo 1.5   ,Islamabad,2016,81717,1,1500,38.5,0,1
Honda BR-V  2018 i- MT ,Islamabad,2018,28990,1,1500,38,0,1
Audi A8  (D4)  2013 L 2 ,Islamabad,2013,98474,2,2000,2,1,0
Honda City   2017 Aspire 1.3 i- ,Islamabad,2017,99408,1,1300,29.5,0,1
Honda Vezel  2016 2 RS Honda   ,Islamabad,2016,89213,2,1500,55.5,0,1
Honda Civic  2004 EXi  ,Islamabad,2004,310656,1,1500,14.5,0,1
Honda Fit  2013 1.5 2 S  ,Islamabad,2013,91873,2,1500,27.5,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Rawalpindi,2015,59342,1,1800,31.8,0,1
Toyota Vitz  2011 F 1.0 ,Islamabad,2011,155589,1,1000,21.1,0,1
Toyota Yaris  2021  X  1.5 ,Islamabad,2021,40453,1,1500,38.5,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Rawalpindi,2019,57378,1,1800,49.9,0,1
Toyota Corolla  2015 GLi 1.3 V ,Islamabad,2015,119701,1,1300,25,1,0
Mercedes Benz E   (W211)  2007 E200 ,Islamabad,2007,50137,1,1800,48,0,1
Toyota Fortuner  2022 2.7 V ,Islamabad,2022,14969,1,2700,1.26,0,1
Honda Civic  2022 Oriel 1.8 i-  ,Islamabad,2022,10388,1,1800,55.9,0,1
Audi Q5  2014 2.0 TFSI S Tronic Quattro ,Islamabad,2014,88736,1,2000,85,0,1
Toyota Vitz  2011 F 1.0 ,Islamabad,2011,132933,1,1000,20.3,0,1
Honda City   2018 1.3 i- ,Islamabad,2018,138427,1,1300,26.5,0,1
Suzuki Cultus  2022 L ,Rawalpindi,2022,13580,1,1000,29,0,1
Honda City   2017 Aspire 1.5 i- ,Islamabad,2017,85480,1,1500,29.5,1,0
Suzuki Mehran  2014   II ,Islamabad,2014,58005,1,796,9,0,1
Toyota Aqua  2014 L ,Islamabad,2014,140727,2,1500,30.95,0,1
Mazda Carol  2019 GX ,Islamabad,2019,9320,1,660,32,0,1
Honda Vezel  2014 2 Z ,Islamabad,2014,168642,2,1500,37.9,0,1
Honda City   2018 1.3 i- ,Islamabad,2018,74339,1,1300,27.75,0,1
Toyota Fortuner  2013 2.7 V ,Islamabad,2013,101327,1,2700,57,1,0
Hyundai Elantra  2022 GL ,Islamabad,2022,6165,1,1600,52.9,1,0
Honda Civic  2016  1.8 i- ,Islamabad,2016,161444,1,1800,28,1,0
Honda Civic  2019 Oriel 1.8 i-  ,Islamabad,2019,69951,1,1800,45.5,1,0
MG HS  2021  ,Islamabad,2021,21739,1,1500,61.75,0,1
Toyota Rav4  2002 G ,Islamabad,2002,193034,1,2000,22,0,1
KIA Picanto  2020 1.0 AT ,Islamabad,2020,19706,1,1000,25,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Islamabad,2015,156370,1,1800,32.5,1,0
Suzuki Swift  2019 DLX 1.3 Navigation  ,Rawalpindi,2019,39203,1,1300,23.5,0,1
Toyota Aqua  2018 S ,Islamabad,2018,110181,2,1500,46.75,0,1
Suzuki Cultus  2022 1 Gear Shift ,Islamabad,2022,17551,1,1000,31.8,0,1
Toyota Aqua  2013 G LED Soft Leather Selection  ,Islamabad,2013,64223,2,1500,31.5,1,0
Toyota Vitz  2012 F 1.0 ,Islamabad,2012,201427,1,1000,23,0,1
Toyota Prado  2011 TZ 4.0 ,Islamabad,2011,114393,1,4000,1.5,0,1
Honda City  2002 EXi S 1 ,Islamabad,2002,223026,1,1500,14.5,1,0
Toyota Corolla  2022 Altis 1 1.6 ,Islamabad,2022,4500,1,1600,49,0,1
Toyota Corolla  2014 Altis Grande 1.8 ,Islamabad,2014,110954,1,1800,33,0,1
Toyota Ractis  2007 1.3X ,Islamabad,2007,181624,1,1300,17.5,1,0
Changan Karvaan  2021 Plus ,Islamabad,2021,10766,1,1000,23,0,1
Honda City   2011 1.3 i- ,Islamabad,2011,89599,1,1300,19.85,0,1
Toyota Yaris  2020  X  1.5 ,Islamabad,2020,41122,1,1500,35.9,0,1
Honda Vezel  2017 2 RS Honda   ,Islamabad,2017,83644,2,1500,67.5,0,1
Toyota Prius  2012 S Touring Selection 1.8 ,Islamabad,2012,222326,1,1800,42,0,1
MG HS  2022 1.5 Turbo ,Islamabad,2022,20616,1,1500,66,0,1
Suzuki Every  2014 Join ,Islamabad,2014,209172,1,660,13.5,0,1
Toyota Yaris  2022  MT 1.3 ,Islamabad,2022,6280,1,1300,38.5,0,1
KIA Stonic  2022 EX+ ,Islamabad,2022,5757,1,1400,48,0,1
Lexus RX   2010 450h ,Islamabad,2010,133788,2,3500,86,1,0
MG HS  2021 1.5 Turbo ,Islamabad,2021,12583,1,1500,68,0,1
Toyota Corolla  2001 GLi 1.6 ,Islamabad,2001,234418,1,1600,9.95,1,0
Honda City  2001 EXi ,Islamabad,2001,255270,1,1300,8.2,0,1
Toyota Prado  2013 TX 2.7 ,Islamabad,2013,74847,1,2700,1.75,0,1
Honda Civic  2021 1.5 RS Turbo ,Islamabad,2021,19839,1,1500,67,1,0
Honda Vezel  2017 2 X Honda  ,Islamabad,2017,69715,1,1500,57,0,1
Honda Civic  2017 Oriel 1.8 i-  ,Islamabad,2017,88688,1,1800,41,0,1
Toyota Lite Ace  2004  ,Islamabad,2004,424139,1,1800,19,0,1
Toyota Fortuner  2020 2.7 V ,Islamabad,2020,32347,1,2700,1.15,1,0
Honda Civic  2017 1.5 RS Turbo ,Islamabad,2017,43338,1,1500,46,0,1
Toyota Corolla  2021 Altis X 1 1.6 ,Islamabad,2021,24008,1,1600,47,0,1
Toyota Hilux  2021 Revo V 1 2.8 ,Islamabad,2021,18353,0,2800,98,0,1
Mitsubishi jero  2006 GLS 2.8D ,Islamabad,2006,228986,0,2800,40,1,0
Toyota Corolla  2014 GLi  1.3 V ,Islamabad,2014,109074,1,1300,25,1,0
Toyota Corolla  2021 Altis X 1 1.6 ,Islamabad,2021,41640,1,1600,43,0,1
Toyota C-HR  2017 S ,Islamabad,2017,155049,2,1800,72.5,0,1
Honda Civic  2001  Oriel 1 1.6 ,Islamabad,2001,214484,1,1600,11.5,0,1
Nissan Tiida  2007 15S ,Islamabad,2007,118307,1,1500,16,0,1
Daihatsu Move  2012 X ,Islamabad,2012,93704,1,660,14.9,1,0
Mazda Carol  2019 GX ,Islamabad,2019,9320,1,660,32,0,1
Honda Vezel  2014 2 Z ,Islamabad,2014,168642,2,1500,37.9,0,1
Honda City   2018 1.3 i- ,Islamabad,2018,74339,1,1300,27.75,0,1
